Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Merchandise imports (current US$),54137000000,56981000000,64242000000,60652000000,51767000000,58643000000,58382000000,49723000000,50881000000,66433000000,77628000000,97049000000,1.28111E+11,1.83921E+11,1.35378E+11,1.93184E+11,2.38706E+11,2.35404E+11,2.52282E+11,2.40763E+11,1.8046E+11,1.45248E+11,1.65855E+11,1.9284E+11
Insurance and financial services (% of commercial service imports),9.558544184,3.081209539,9.812281411,7.180044662,6.873836874,6.622583887,7.133259478,9.69914182,9.550714091,7.528116982,6.775262286,6.255170873,6.339409572,6.535265362,8.013703963,5.216477498,4.715992686,4.240433719,3.675748269,2.840868933,3.399537082,3.615936906,3.002345407,2.732916129
Agricultural raw materials imports (% of merchandise imports),2.715485444,3.002881933,2.567663275,2.103456799,2.0227559,1.968708756,1.351874483,1.495778655,1.749924482,1.754823384,1.538393923,1.523372652,1.391800316,1.21482879,1.158041913,1.300774692,1.456246511,1.099877758,1.023529277,1.00193908,1.05647427,1.2503164,1.208021381,1.08102408
"Share of tariff lines with specific rates, primary products (%)",0,0,0,0,55.57948,0,0,0,0,0,0,0,0,0,0,0,0.0076138,0,0,0.0145127,0,0,0,0
"Bound rate, simple mean, primary products (%)",33.78,34.03,34.03,34.03,34.03,34.03,34.03,34.06,34.06,34.06,34.06,34.06,33.96,33.96,33.96,33.96,33.96,33.96,33.86,33.86,33.86,33.86,33.96,33.96
"Share of tariff lines with specific rates, all products (%)",0,0,0,0,55.59061,0,0,0,0,0,0,0,0,0,0,0,0.000523,0,0,0.0010117,0,0.0063757,0,0
"Bound rate, simple mean, all products (%)",31.36,31.37,31.37,31.37,31.37,31.37,31.37,31.38,31.38,31.38,31.38,31.38,31.39,31.39,31.39,31.39,31.39,31.39,31.44,31.44,31.44,31.44,31.47,31.47
"Share of tariff lines with specific rates, manufactured products (%)",0,0,0,0,55.58748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068626,0,0
"Bound rate, simple mean, manufactured products (%)",30.63,30.58,30.58,30.58,30.58,30.58,30.58,30.58,30.58,30.58,30.58,30.58,30.59,30.59,30.59,30.59,30.59,30.6,30.57,30.57,30.57,30.57,30.59,30.59
"International tourism, expenditures (% of total imports)",6.291375034,7.555515163,8.053183758,7.932655937,5.575599167,6.234045684,5.160755886,4.712168471,4.490594795,4.677060039,6.033353934,6.234181166,6.608732881,6.018970342,7.395252199,7.746957718,8.145366684,8.550387597,8.993662993,9.407249496,8.366921813,8.384060485,9.848046904,8.309271619
"International tourism, expenditures for passenger transport items (current US$)",591000000,601000000,789000000,634000000,466000000,654000000,566000000,533000000,613000000,881000000,1185000000,1737000000,2223000000,2307000000,1999000000,2918000000,3806000000,3969000000,4258000000,4431000000,2999000000,2571000000,3989000000,3963000000
"International tourism, number of departures",2600000,3797000,4014000,4171000,2863000,3228000,2674000,2338000,3229000,2968000,3364000,3886000,4662000,5238000,4920000,6457000,7807000,8497000,8866000,9617000,9478000,8872000,10610000,10628000
Urban population,126904246,130010387,133232801,136457266,139649517,142795391,145337135,147774310,150126745,152434477,154731704,156991180,159201638,161361139,163480329,165594717,167726203,169827068,171885100,173941724,175989923,177986118,179958546,181939117
Rural population,36611082,36026735,35313906,34582538,33836764,33078329,32874746,32702375,32502533,32287566,32065630,31829502,31577815,31311178,31037220,30758775,30459099,30150639,29836667,29517926,29198282,28873460,28546414,28227475
"Completeness of birth registration, rural (%)",,,,,,,,,,,,,,,,,,,,,,,,
"Population, male",81155182,82377561,83593268,84799768,85981420,87124330,88233218,89303580,90318606,91303580,92281701,93237364,94163019,95059746,95935867,96806825,97676016,98526889,99355387,100185186,101008689,101794390,102567011,103354449
Technicians in R&D (per million people),,,,,,335.9403,324.4342,313.34843,371.29267,450.26914,497.05356,526.26259,566.52684,606.16456,681.02727,754.57696,809.69231,863.93363,917.32864,969.90222,,,,
"Age dependency ratio, old (% of working-age population)",7.981057943,8.089560756,8.198266655,8.305305864,8.409793615,8.511592307,8.62239817,8.746159709,8.88051049,9.02987095,9.194823729,9.371253229,9.553420022,9.738411385,9.924164552,10.10850349,10.29452849,10.49745731,10.73438396,11.02671402,11.36019796,11.70551353,12.07051487,12.46245317
"Population ages 80 and above, female (% of female population)",0.7715704,0.793770601,0.816107044,0.838997794,0.863442889,0.891616269,0.925174333,0.962883736,1.003664024,1.048619271,1.098252186,1.151064358,1.20602671,1.263258404,1.321303289,1.379193332,1.436262822,1.492537998,1.549182464,1.606447441,1.663194527,1.721576418,1.783701711,1.848889963
"Population ages 70-74, female (% of female population)",1.500253551,1.550930921,1.601639693,1.651247571,1.698720486,1.743943818,1.78757434,1.828541981,1.865103971,1.897595457,1.927871561,1.958913489,1.992153322,2.029429191,2.07198028,2.1167685,2.1607919,2.203462284,2.243613588,2.28199294,2.321806248,2.369749721,2.432490941,2.513845254
"Population ages 65 and above, male",3720943,3834298,3950204,4067701,4185842,4301096,4420104,4548810,4686200,4833770,4992712,5161195,5335431,5515170,5699164,5884602,6069225,6261767,6476961,6726799,6997456,7269894,7555128,7858805
"Population ages 65-69, female (% of female population)",2.147230314,2.189053442,2.226766829,2.258561209,2.284937633,2.308318401,2.332699685,2.360103344,2.392721734,2.432542711,2.476682363,2.521958395,2.566948911,2.609516876,2.650010083,2.691983637,2.742355581,2.808933501,2.897314054,3.017408998,3.161971415,3.309799436,3.451401081,3.583482528
"Population ages 55-59, female (% of female population)",3.204614319,3.240302683,3.276225227,3.309276216,3.340339573,3.374515588,3.42041533,3.487105655,3.58104534,3.712222838,3.869836559,4.029008514,4.179493936,4.317859348,4.435232726,4.539998288,4.648408828,4.763026675,4.884150953,5.007786775,5.130936705,5.253867723,5.373140202,5.483446739
"Population ages 45-49, female (% of female population)",4.69105415,4.852899001,5.001723944,5.133321721,5.239600918,5.333556095,5.4338321,5.541979183,5.658528873,5.778385081,5.897453524,6.015823839,6.130494321,6.236827868,6.328228435,6.395856998,6.436279959,6.45132899,6.444702872,6.428236641,6.419181802,6.425798715,6.450131513,6.494233963
"Population ages 35-39, female (% of female population)",6.95634278,7.058433524,7.154087076,7.23798747,7.304474777,7.34551584,7.3575326,7.342755849,7.30612224,7.260669164,7.224590599,7.206217759,7.209235232,7.237235393,7.277659389,7.323048258,7.381039934,7.453235653,7.537110854,7.634041968,7.738508824,7.840539437,7.931582232,8.001049057
"Population ages 25-29, female (% of female population)",8.435920068,8.372884003,8.333752681,8.322395065,8.325815751,8.337198712,8.364953654,8.410400743,8.470853232,8.547677072,8.632894141,8.71330031,8.782429809,8.831024484,8.850563682,8.837098439,8.788678535,8.711796236,8.611725396,8.492664184,8.361687476,8.230566341,8.098502115,7.973883606
"Population ages 15-64, total",101918393,104257762,106627027,109006750,111375254,113723821,116036453,118297028,120484166,122599349,124649426,126631537,128555114,130440998,132309102,134182780,136055226,137882323,139643831,141291467,142802802,144236047,145586706,146810991
"Population ages 15-64, female",51620342,52798926,53990582,55186801,56378020,57564654,58739758,59891995,61008965,62091207,63140791,64155113,65139030,66101591,67053113,68006673,68953649,69871335,70752617,71570121,72315803,73023834,73688849,74286342
"Population ages 10-14, female (% of female population)",10.84032878,10.70601064,10.53758283,10.34281224,10.13165429,9.913785886,9.696196477,9.480561181,9.283309677,9.115859191,8.977129789,8.864694407,8.773940052,8.694432445,8.601787747,8.482653123,8.340287624,8.175471824,7.979377155,7.780674536,7.604740684,7.440752402,7.284555355,7.143720508
"Population ages 0-14, total",53462769,53345365,53178112,52979710,52744598,52470191,52170303,51833209,51445502,51052131,50686613,50322183,49942930,49528437,49077874,48606841,48123831,47621247,47088031,46588376,46162722,45739960,45345189,45059349
"Population ages 0-14, female",26326580,26260937,26171493,26067592,25946255,25806123,25653884,25483474,25288296,25090462,24906259,24722438,24531425,24323270,24097160,23860725,23618617,23367112,23100819,22851337,22638487,22427678,22231162,22088356
Women who were first married by age 18 (% of women ages 20-24),,23.7,,,,,,,,,,26.2,,,,,,,,,,,,
"Survival to age 65, male (% of cohort)",64.678401,65.398738,65.926188,66.410713,66.773622,66.348441,66.886511,67.05839,67.553448,67.977823,69.158974,69.536502,70.160491,70.818631,71.235955,71.472603,71.851648,72.160991,72.988921,73.820713,73.686866,73.626627,74.62652,75.231526
"Life expectancy at birth, total (years)",67.919,68.409,68.813,69.189,69.524,69.737,70.195,70.41,70.72,71.131,71.753,72.037,72.365,72.715,72.948,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109
"Mortality rate, infant, female (per 1,000 live births)",36.5,34.4,32.3,30.4,28.5,26.8,25.2,23.6,22.1,20.7,19.4,18.2,17.1,16.2,15.4,14.7,14.1,13.6,13.2,12.8,12.6,13.4,12.1,12
"Birth rate, crude (per 1,000 people)",22.319,21.846,21.477,21.06,20.445,19.841,19.271,18.574,17.85,17.632,17.335,16.852,16.372,15.943,15.715,15.492,15.309,14.939,14.69,14.753,14.727,14.051,14.159,14.133
Vitamin A supplementation coverage rate (% of children ages 6-59 months),,,,,,,,,,,,,,,,,,,,,,,,
Prevalence of undernourishment (% of population),,,,,,,10.7,9.3,7.9,6.8,6.5,6.2,5.6,5.1,4.3,3.7,3.2,3,2.8,2.5,2.5,2.5,2.5,2.5
Refugee population by country or territory of asylum,2050,2212,2260,2345,2374,2718,2877,3176,3190,3333,3446,3478,20764,3831,4218,4346,4466,4681,5185,7478,8703,9674,10260,11304
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,35.24,,36.24,31.52364794,28.8,,,
"Unemployment, male (% of male labor force) (national estimate)",5.860000134,6.349999905,7.03000021,7.849999905,8.760000229,,8.43999958,8.420000076,8.890000343,7.630000114,7.940000057,7.340000153,6.840000153,6.010000229,6.920000076,,5.449999809,5.800000191,5.670000076,5.599999905,7.21999979,10.06000042,11.18999958,10.72000027
"Share of youth not in education, employment or training, male (% of male youth population)",10.60999966,11.89000034,11.27000046,11.26000023,11.28999996,,11.35000038,11.93000031,11.89000034,11.65999985,11.81999969,12.02999973,12.14000034,11.89000034,12.35999966,,13.02000046,13.97000027,14.47999954,14.31999969,15.73999977,18.12999916,19.36000061,19.29999924
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",8.350000381,9.359999657,11.60999966,13.17000008,14.68000031,,14.17000008,14.89999962,15.51000023,14.55000019,15.42000008,14.10000038,14.47999954,12.76000023,14.28999996,,11.64000034,5.010000229,5.130000114,4.71999979,8.680000305,15.97999954,17.22999954,16.86000061
Unemployment with advanced education (% of total labor force with advanced education),2.569999933,3.24000001,3.529999971,3.789999962,4.5,,4,3.950000048,4.400000095,4.059999943,4.199999809,4.130000114,4.309999943,4.210000038,4.369999886,,3.849999905,1.080000043,1.389999986,1.299999952,5.079999924,6.269999981,6.929999828,6.760000229
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",13.32999992,14.63000011,16.67000008,19.26000023,20.63999939,,20,20.60000038,21.35000038,20.02000046,21.35000038,19.92000008,18.89999962,17.67000008,19.87999916,,16.98999977,15.73999977,15.59000015,15.40999985,19.37000084,26.43000031,28.45000076,27.84000015
Low-birthweight babies (% of births),,,,,,7.8259196,7.9295588,8.0230093,8.106431,8.1799908,8.243844,8.2981567,8.343092,8.3788109,8.4054613,8.4232264,8.432251,8.4327116,8.4247646,8.4085579,8.3842697,,,
"People using at least basic sanitation services, urban (% of urban population)",,,,,,81.60987759,82.2280905,82.84718348,83.46715652,84.08800963,84.70974279,85.33235602,85.95584931,86.58022266,87.20547607,87.83160955,88.45862309,89.08651669,89.71529035,90.34494407,90.97547786,91.60689171,92.23918562,92.87235959
"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",,,,,,,,,,,,,,,,,,,,,,29.9,,
Risk of impoverishing expenditure for surgical care (% of people at risk),,,,,,,,,20.5,20.8,19.4,19.2,17.3,15.4,14.6,13.9,12.9,13.1,12.2,11,11.8,13.3,13.3,13.3
Prevalence of current tobacco use (% of adults),,,,,,23.8,,,,,20.4,,,,,17.4,,,,,14.9,,,13.2
Number of maternal deaths,,,,,,2400,2300,2300,2300,2300,2300,2300,2200,2100,2100,1900,1800,1800,1800,1800,1900,1800,1700,
"Specialist surgical workforce (per 100,000 population)",,,,,,,,,,,,,,,,,,,31.93,,,34.74,,55.47
"Hospital beds (per 1,000 people)",,3.109999895,,,,2.82,2.78,2.59,2.42,,2.52,2.48,2.47,2.44,2.43,2.37,2.31,2.27,2.25,2.22,2.15,2.11,2.09,
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),,,,,,,,,,,,,,,,,,,,,,,,
"Incidence of HIV, all (per 1,000 uninfected population)",0.25,0.24,0.25,0.25,0.26,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23
Antiretroviral therapy coverage (% of people living with HIV),,,,,,27,32,36,40,43,46,49,51,52,54,55,57,59,60,62,63,65,67,68
People using safely managed drinking water services (% of population),,,,,,75.99606802,76.56129687,77.04836801,77.32908456,77.60419859,77.87380706,78.1382912,78.39773752,78.65221598,78.90124496,79.14548167,79.38738202,79.62451905,80.41174261,81.19584995,81.97630358,82.69040002,83.52582053,84.2947419
"People using at least basic drinking water services, urban (% of urban population)",,,,,,98.14203579,98.21954214,98.29704849,98.37455484,98.45206119,98.52956754,98.60707388,98.68458023,98.76208658,98.83959293,98.91709928,98.99460563,99.07211198,99.14961832,99.22712467,99.30463102,99.38213737,99.66213725,99.73980139
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",,,,,,21.6,21.1,20.5,20.1,20,19,18.7,18.4,18.4,18,17.7,17.6,17.1,16.8,16.3,16.2,16.3,15.8,15.7
"Mortality rate, under-5, female (per 1,000 live births)",42.9,40.2,37.5,35.1,32.9,30.8,28.8,26.9,25.1,23.4,21.9,20.5,19.3,18.2,17.3,16.5,15.8,15.2,14.8,14.4,14.1,14.9,13.6,13.4
"Probability of dying among youth ages 20-24 years (per 1,000)",8.2,8.2,8.2,8.2,8.1,8.1,8,8,7.9,7.7,7.6,7.6,7.6,7.7,7.8,7.9,8,8,8.1,8.1,8.2,8.1,8,7.8
Number of neonatal deaths,81370,78543,76045,73422,69985,65623,61248,56597,52055,49095,46130,42943,40044,37474,35540,33837,32422,30816,29576,29077,28626,29222,27348,27143
Number of infant deaths,148526,139848,131179,123141,114722,106306,98308,90481,82692,76330,71292,66137,61128,56776,53358,50648,48406,46261,44337,43328,42825,44573,40187,40017
Number of deaths ages 10-14 years,7172,7087,6964,6816,6662,6513,6374,6236,6115,6016,5941,5885,5843,5805,5750,5664,5551,5409,5236,5061,4900,4744,4581,4415
Prevalence of anemia among non-pregnant women (% of women ages 15-49),,,,,,27,26.3,25.8,25.3,24.9,24.2,23.6,22.8,21.9,20.9,19.8,19,18.3,17.6,17.1,16.7,16.4,16.2,16.1
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,8.78,,,,,8.32,,,,,8.49,,,,,7.86,,,7.42
Women who believe a husband is justified in beating his wife when she neglects the children (%),,,,,,,,,,,,,,,,,,,,,,,,
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),,,,,,,,,,,,,,,,,,,,,,,,
Proportion of seats held by women in national parliaments (%),,,6.627680312,6.627680312,5.653021442,5.653021442,6.822612086,6.237816764,8.576998051,8.576998051,8.576998051,8.771929825,8.966861598,8.966861598,8.771929825,8.576998051,8.576998051,8.576998051,8.576998051,9.941520468,9.941520468,9.941520468,10.72124756,15.00974659
"Government expenditure on education, total (% of government expenditure)",,,,11.62985992,9.600270271,11.45215988,10.61093998,9.637000084,,10.41242981,11.26471996,12.42636967,13.22266006,14.08339977,14.72636032,14.15985966,15.26900005,15.72778034,15.59270954,15.44384003,16.21810913,15.92883015,16.50490952,16.1483593
"Government expenditure per student, secondary (% of GDP per capita)",,,,,,,,10.14512,,11.44409,13.00607,,17.62629,19.06857,20.00857,20.97786,21.8504,19.66737,20.57305,20.56801,21.52655,,,
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",,,,97.64042664,97.04736328,96.91636658,92.94094086,90.91616058,,96.69651794,94.8393631,94.07141113,95.09411621,88.6545105,86.38710022,86.87077332,91.98551941,90.58432007,90.69017792,92.03530884,95.63939667,95.09069061,97.3503418,96.73407745
"School enrollment, tertiary, male (% gross)",,,,,14.3201704,,16.13146973,17.94271088,20.08176994,21.43833923,22.76260948,,27.19051933,31.06567955,31.90575981,,37.57003021,38.52098083,40.07207108,42.56475067,43.89635086,42.73023987,43.7105217,45.18610001
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",,,,,,,,,,8.114640236,,8.640589714,9.332699776,10.01506042,10.59687042,11.29940033,11.44956017,11.96150017,12.63156986,13.15736961,13.55624962,15.34517956,15.73458004,16.54339027
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,0.796700001,0.861119986,1.023569942
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,0.172069997,0.178599998,0.2086
Adolescents out of school (% of lower secondary school age),,,,,,,,,,,,,5.113369942,,1.030120015,,3.364310026,5.600560188,4.497300148,5.185319901,4.433859825,3.186069965,4.464149952,2.437220097
"Secondary education, teachers, female",,,,,,,,1113226,1202590,1256875,1307572,,872524,938290,937615,947458,948816,951751,945315,945634,925799,911151,879681,871717
"Trained teachers in upper secondary education, male (% of male teachers)",,,,,,,,,,,,,,,,,,,,,,,,
"Trained teachers in lower secondary education, male (% of male teachers)",,,,,,,,,,,,,,,,,,,,,,,,
"Progression to secondary school, male (%)",,,,,,,,,,,,,,,,,,,,,,,,
"School enrollment, secondary, female (% net)",,,,,,,,,,,,,77.48286,,82.73203,,81.36715,79.45052,84.32505,84.85284,83.63342,84.27552,83.18157,
"School enrollment, secondary (% gross)",,,,,,,,109.9942169,101.8686676,102.3710327,101.2919922,,95.16999817,96.72012329,96.66548157,,95.26338196,94.32097626,103.9176788,102.6355286,100.920517,102.5695114,103.0159607,105.0070724
"Pupil-teacher ratio, secondary",,,,,,,,19.12073,16.73021,16.01712,15.42777,,18.55159,17.19542,17.13865,16.66361,16.34985,15.97387,17.26308,16.69174,16.45139,16.60114,16.72391,
"Secondary education, pupils (% female)",,,,,,,,51.5579,51.74738,51.53751,51.62273,,51.73531,51.70602,51.61897,51.49838,51.36766,51.15442,50.73076,50.50958,50.24987,49.96678,49.73256,
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",,,,,,,,,,28.13504028,,30.97050095,32.29661942,34.04795074,35.6862793,34.09899139,37.58248901,38.78264999,39.6694603,40.30261993,41.57234955,43.15602875,43.87432098,45.06644821
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,,,
"Lower secondary completion rate, total (% of relevant age group)",,,,,,,,,,75.85272217,,,,,71.62493134,,71.75012207,,,,,,,
Children out of school (% of primary school age),,,,,,,,,1.355780005,2.023119926,0.539590001,,0.753799975,,2.364860058,,4.99311018,2.191809893,0.459039986,0.136079997,0.718810022,0.83841002,0.390789986,0.519060016
"Children out of school, primary, female",,,,,,,,,,,,,,,95884,,410387,400219,304494,320958,321036,301028,260722,311870
"Adjusted net enrollment rate, primary (% of primary school age children)",,,,,98.07272,,98.85493,96.72741,94.29506,95.58531,96.07993,,92.47411,98.53831,96.58508,,95.69718,98.54993,97.32389,97.4362,96.85231,97.20202,97.55117,
"Trained teachers in primary education, male (% of male teachers)",,,,,,,,,,,,,,,,,,,,,,,,
"Repeaters, primary, female (% of female enrollment)",,,,,24.04412,,,,,,,,,,,,,,,,,,,
"Persistence to grade 5, total (% of cohort)",,,,,,,,,,,,,,,,,,,,,,,,
"Over-age students, primary (% of enrollment)",,,,,36.39413,34.81253,32.33824,29.57802,26.92677,24.65595,23.67038,,23.10329,19.85654,19.92514,20.48948,20.74503,20.3251,16.54675,15.69987,14.70214,13.99844,14.46358,
"Net intake rate in grade 1, male (% of official school-age population)",,,,,,,,,,,,,,,,,,,,,,,,
"School enrollment, primary (% net)",,,,,96.914,,98.03385,95.73049,93.17962,94.42334,94.85334,,91.58906,97.54903,95.52765,,95.00738,98.0755,93.76937,94.84088,94.73055,95.47144,96.29925,
"School enrollment, primary, male (% gross)",,,,,168.1169739,,155.5617828,152.0093536,144.4792328,136.8878479,137.2152252,,131.2835999,136.5995331,133.9461365,,110.9731598,107.4723511,112.8292007,113.2065201,111.4889603,110.9057388,111.4379196,110.059967
"Primary education, pupils (% female)",,,,,47.73136,47.69871,47.75299,47.73741,47.7199,47.70676,47.59256,,47.20861,47.17788,47.20053,47.23665,47.33328,47.42665,47.76243,47.88528,47.92504,47.94264,47.90777,
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",,,,,,,,,,68.65891266,,72.18443298,73.10971069,73.75411987,73.09705353,,74.81942749,76.96003723,75.40055084,76.21884155,76.87558746,77.79567719,79.00266266,79.63687897
"Primary completion rate, female (% of relevant age group)",,,,,,,,,,,,,,,,,,,,,,,,
"Trained teachers in preprimary education, female (% of female teachers)",,,,,,,,,,,,,,,,,,,,,,,,
"Pupil-teacher ratio, preprimary",,19.33663,19.07165,,,,,,,,,,,,,,,,17.10287,16.99821,16.78552,16.59563,16.47539,
"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,1.012959957,1.035449982,1.033529997,1.028849959,,1.043990016,1.038730025,1.044160008,,1.024670005,1.022240043,1.016649961,1.018110037,1.01473999,1.008540034,1.005130053,1.006680012
"Literacy rate, adult male (% of males ages 15 and above)",,,,,,86.22798157,,,,88.40946198,,89.35324097,89.7721405,89.83786774,90.17484283,90.05618286,91.16898346,91.02567291,91.17796326,91.36676788,91.72515869,92.57515717,92.8915329,93.00904083
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",,,,,,1.032019973,,,,1.021649957,,1.015910029,1.015249968,1.013710022,1.012629986,1.016299963,1.011739969,1.00801003,1.009850025,1.008090019,1.007560015,1.006800056,1.00643003,1.004510045
Coverage of social insurance programs in 4th quintile (% of population),,,,,,,,,,,,40.395627,,,37.28255336,,37.48485202,36.63842891,,,38.50914808,39.4683612,40.48371258,39.97827592
Coverage of social insurance programs (% of population),,,,,,,,,,,,30.100939,,,27.94676964,,28.31044962,28.34464752,,,30.53531192,29.63191264,30.29412086,30.86954781
Coverage of social safety net programs in 4th quintile (% of population),,,,,,,,,,,,7.455906447,,,15.26478042,,15.59861559,16.16054725,,,7.273954901,5.681577448,5.135503315,5.384233293
Coverage of social safety net programs (% of population),,,,,,,,,,,,25.28841801,,,17.56058594,,18.65214363,19.52787681,,,23.71616301,23.197618,22.13846726,22.27975361
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),,,,,,,,,,,,6.706628454,,,8.021957809,,6.109695587,6.220084892,,,6.371576406,2.968373378,2.791166095,2.251350801
"Net official flows from UN agencies, UNIDIR (current US$)",,,,,,,,,,,,,,,,,,,,,,,,
"Net official flows from UN agencies, UNDP (current US$)",2490000.01,2970000.029,1870000.005,899999.9762,300000.0119,-389999.9857,319999.9928,400000.006,990000.0095,1110000.014,670000.0167,959999.9785,370000.0048,500000,920000.0167,1379999.995,959999.9785,953420.2814,937382.9961,444284.9457,429040.6108,184919.998,150000.006,149999.9911
"Net financial flows, RDB nonconcessional (NFL, current US$)",109512000,463685000,1013930000,1313699000,2711694000,2490057000,729015166,589927720.7,-913334000,-1366607000,721305000,793232000,535290000,-309700000,1018162000,950502000,-350280000,175238000,-1643088000,886727000,113904000,63813000,686057000,659019000
"PNG, commercial banks and other creditors (NFL, current US$)",5722333000,9310858000,14248991000,16769414000,-7371151000,490759000,-2469772000,-5711992000,-3929732000,-2630966000,-1615322000,14233569000,21828987000,24526760000,5827297000,13296011000,44778886000,26082492000,28720060000,38906531000,26383938000,18177881000,12557351000,26494257000
"PPG, bonds (NFL, current US$)",742521000,3073885000,3302811000,-540857000,5631653000,8780817000,7572121000,2600667000,4184766000,36363000,4064476000,-12469020000,-4919337000,-1746964000,2339769000,-336574000,-649655000,3355665000,4449334000,1023073000,-4380298000,-324201000,-2050008000,-2390908000
"Net financial flows, multilateral (NFL, current US$)",-415621000,752530000,1401908000,5725052000,1986479000,149195000,1517528000,906868000,-1285350000,-1512197000,517857000,2384261000,276336000,1202352000,405013000,5048773000,-4847299000,2711656000,697786000,2607294000,506999000,427160000,633412000,786504000
"Net financial flows, IMF concessional (NFL, current US$)",,,,,,,,,,,,,,,,,,,,,,,,
"Net official flows from UN agencies, FAO (current US$)",,,,,,,,,,,,,,,,,,,43155.37214,,,,,26429.99962
Present value of external debt (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,
"PPG, IDA (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,
Short-term debt (% of total reserves),60.23762341,59.71763872,66.7497047,67.1666262,80.43083137,93.81461009,78.82930015,61.83896508,49.88965015,47.73229069,44.59724699,23.67466804,21.76305002,18.9098258,16.67903474,22.69511276,11.97133765,8.731628844,9.338065158,16.00156826,14.68347324,15.67239793,14.01460585,17.83884931
"External debt stocks, long-term (DOD, current US$)",1.29594E+11,1.45804E+11,1.641E+11,2.07293E+11,2.06566E+11,2.09303E+11,1.92899E+11,1.87234E+11,1.82463E+11,1.6984E+11,1.63859E+11,1.7344E+11,1.98632E+11,2.25761E+11,2.37339E+11,2.82426E+11,3.57473E+11,4.03476E+11,4.45782E+11,4.9456E+11,4.87055E+11,4.82174E+11,4.8648E+11,4.86883E+11
"Net ODA provided, total (constant 2020 US$)",,,,,,,,,,,,,,,,,,,,,,,,
"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",,,,,,,,,,,,,,29999.99933,9999.999776,,9999.999776,,,,,,,
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",200000.003,189999.9976,219999.9988,59999.99866,170000.0018,209999.9934,239999.9946,180000.0072,200000.003,239999.9946,289999.9917,239999.9946,150000.006,340000.0036,280000.0012,200000.003,270000.0107,100000.0015,129999.9952,29999.99933,219999.9988,230000.0042,289999.9917,319999.9928
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",,9999.999776,9999.999776,,9999.999776,,39999.99911,39999.99911,50000.00075,189999.9976,189999.9976,219999.9988,159999.9964,519999.9809,360000.0143,370000.0048,800000.0119,519999.9809,689999.9976,119999.9973,0,19999.99955,39999.99911,9999.999776
"Net bilateral aid flows from DAC donors, Ireland (current US$)",469999.9988,759999.9905,899999.9762,839999.9738,1240000.01,899999.9762,1480000.019,1649999.976,1039999.962,1149999.976,1340000.033,1559999.943,1440000.057,2019999.981,1259999.99,819999.9928,850000.0238,980000.0191,529999.9714,550000.0119,280000.0012,400000.006,230000.0042,419999.9869
"Net bilateral aid flows from DAC donors, France (current US$)",8159999.847,12840000.15,18440000.53,4269999.981,21049999.24,23719999.31,14640000.34,20510000.23,30950000.76,31090000.15,28469999.31,30909999.85,112910003.7,41029998.78,47119998.93,46580001.83,59180000.31,860710022,121160003.7,222899993.9,180580001.8,124580001.8,155619995.1,50490001.68
"Net bilateral aid flows from DAC donors, Germany (current US$)",31200000.76,39259998.32,51709999.08,57709999.08,47569999.69,49459999.08,47040000.92,31860000.61,49200000.76,51939998.63,76980003.36,65620002.75,76800003.05,126650001.5,196100006.1,247449996.9,215710006.7,117709999.1,217910003.7,468040008.5,269440002.4,247679992.7,66910003.66,127290000.9
